Títulos,Precios,M2,Planta,Baños,Habitaciones,Calefacción,AireAC,Ascensor,Enlace
Piso de 70 m² con aire acondicionado en Latina ,165.000 €,70 m²,3ª Planta,2 baños,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero/165149509/d?from=list
Piso de 312 m² con ascensor en Barrio de Salamanca ,2.690.000 €,312 m²,3ª Planta,4 baños,5 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/162994606/d?from=list
Piso en Calle Nicolás Sánchez/ 110/ Usera ,219.900 €,82 m²,2ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-se-aceptan-mascotas-piscina/164019102/d?from=list
Dúplex de 103 m² con ascensor en Calle de Ulises/ Hortaleza ,399.000 €,103 m²,1ª Planta,2 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-zona-comunitaria-ascensor-patio-no-amueblado/165411242/d?from=list
Casa adosada de 206 m² con terraza en Calle de Fuentelencina/ San Blas ,550.000 €,206 m²,Sin información,4 baños,4 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-patio-parking-internet/163753779/d?from=list
Piso de 94 m² con terraza en Avenida de Los Rosales/ Villaverde ,186.000 €,94 m²,5ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/164663867/d?from=list
Piso de 349 m² con ascensor en Moncloa - Aravaca ,2.200.000 €,349 m²,6ª Planta,4 baños,Sin información,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor/161926431/d?from=list
Piso de 83 m² con terraza en Calle del Estroncio/ Villaverde ,123.000 €,83 m²,3ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza/165223606/d?from=list
Piso de 80 m² con aire acondicionado en Puente de Vallecas ,129.999 €,80 m²,1ª Planta,1 baño,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/165186940/d?from=list
Piso de 60 m² con balcón en Calle de San Pascual/ Latina ,145.000 €,60 m²,3ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/jardin-trastero-ascensor-amueblado-internet/165305411/d?from=list
Piso de 34 m² con balcón en Centro ,165.000 €,34 m²,1ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/embajadores-lavapies/165324026/d?from=list
Piso de 65 m² con ascensor en Barrio de Salamanca ,660.000 €,65 m²,3ª Planta,2 baños,2 habs.,Sin calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/158442784/d?from=list
Apartamento de 36 m² con ascensor en Centro ,189.000 €,36 m²,4ª Planta,1 baño,1 hab.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/164075354/d?from=list
Piso de 71 m² con terraza en Hortaleza ,240.000 €,71 m²,3ª Planta,3 baños,3 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/165447183/d?from=list
Ático de 95 m² con terraza en Calle de Andrés Obispo/ Hortaleza ,395.000 €,95 m²,Sin información,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-no-amueblado/165431793/d?from=list
Piso de 99 m² con ascensor en Retiro ,405.000 €,99 m²,5ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/165401945/d?from=list
Piso de 131 m² con terraza en Calle de Enrique Fuentes/ Usera ,199.000 €,131 m²,2ª Planta,1 baño,5 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-amueblado/163013653/d?from=list
Dúplex de 49 m² con terraza en San Martin de Porres/ Moncloa - Aravaca ,198.000 €,49 m²,Sin información,1 baño,2 habs.,Sin calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-jardin-terraza-amueblado/164529725/d?from=list
Piso de 115 m² con piscina en Real de Pinto/ Villaverde ,225.000 €,115 m²,2ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-parking-se-aceptan-mascotas-internet-piscina/163807807/d?from=list
Piso de 120 m² con terraza en  Pablo Neruda/ Puente de Vallecas ,190.000 €,120 m²,2ª Planta,2 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/164829124/d?from=list
Piso de 60 m² con ascensor en Ciudad Lineal ,180.000 €,60 m²,Sin información,1 baño,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/164763627/d?from=list
Piso de 118 m² con terraza en Retiro ,479.000 €,118 m²,6ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-internet/164891831/d?from=list
Piso de 103 m² con ascensor en Calle Juan Sánchez/ Fuencarral - El Pardo ,395.000 €,103 m²,1ª Planta,2 baños,4 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor/164868358/d?from=list
Piso de 52 m² con aire acondicionado en Calle de Muela de San Juan/ Villa de Vallecas ,111.000 €,52 m²,3ª Planta,1 baño,2 habs.,Sin calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/164394801/d?from=list
Piso de 88 m² con terraza en Carabanchel ,169.900 €,88 m²,2ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/164971341/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://www.nortegas.es/gas-renove-reformas?utm_campaign=gas_natural_2022&utm_source=adevinta-fotocasa&utm_medium=cpc&utm_content=llave-inglesa
Piso de 70 m² con terraza en Tiscar/ Puente de Vallecas ,129.000 €,70 m²,3ª Planta,1 baño,3 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero/164820453/d?from=list
Planta baja de 57 m² con ascensor en Latina ,155.900 €,57 m²,Sin información,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/162543445/d?from=list
Piso de 82 m² con ascensor en Calle de Pan y Toros/ Villaverde ,140.000 €,82 m²,7ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/165475281/d?from=list
Piso de 80 m² con ascensor en Tetuán ,275.000 €,80 m²,Sin información,2 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-patio-no-amueblado/165093648/d?from=list
Piso de 67 m² con 1 baño en Latina ,130.000 €,67 m²,Sin información,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aluche/163692313/d?from=list
Piso de 68 m² con 1 baño en Hortaleza ,171.000 €,68 m²,Sin información,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/pinar-del-rey/163507795/d?from=list
Piso de 96 m² con terraza en Usera ,169.260 €,96 m²,2ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/165147565/d?from=list
Piso de 80 m² con 1 baño en Latina ,142.000 €,80 m²,Sin información,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/lucero/161796641/d?from=list
Piso de 64 m² con terraza en Calle de Rocafort/ Villaverde ,87.000 €,64 m²,5ª Planta,1 baño,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-amueblado/165382076/d?from=list
Piso de 81 m² con balcón en Paseo de las Delicias/ Arganzuela ,285.000 €,81 m²,3ª Planta,2 baños,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/164756921/d?from=list
Piso de 94 m² con ascensor en Carabanchel ,100.500 €,94 m²,2ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor-piscina/164759145/d?from=list
Piso de 94 m² con terraza en Ciudad Lineal ,249.000 €,94 m²,1ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-parking-no-amueblado/165269644/d?from=list
Piso en San Hermenegildo/ 19/ Centro ,153.000 €,30 m²,Sin información,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/163978577/d?from=list
Piso en Calle de Rozas de Puerto Real/ 15/ Villa de Vallecas ,139.900 €,50 m²,4ª Planta,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-amueblado-se-aceptan-mascotas/165469011/d?from=list
Piso de 80 m² con 1 baño en Calle Ariza/ Latina ,135.000 €,80 m²,Sin información,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/trastero/163744752/d?from=list
Piso en Avenida del Ensanche de Vallecas/ 2/ Villa de Vallecas ,290.000 €,109 m²,1ª Planta,2 baños,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-patio-piscina-parking-se-aceptan-mascotas-piscina/165412436/d?from=list
Piso en Calle del Príncipe de Vergara/ 3/ Barrio de Salamanca ,447.000 €,51 m²,3ª Planta,1 baño,1 hab.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-amueblado-se-aceptan-mascotas/165310981/d?from=list
Piso en C. de Navalmoral de la Mata 31 / Latina ,179.000 €,73 m²,4ª Planta,1 baño,4 habs.,Sin calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-terraza-ascensor/165325472/d?from=list
Piso en C. Jeronima Llorente 43 / Tetuán ,405.000 €,105 m²,3ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-internet/165250578/d?from=list
Dúplex en San Blas ,290.000 €,102 m²,Bajos,2 baños,1 hab.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-zona-comunitaria-ascensor-patio-se-aceptan-mascotas/163450130/d?from=list
Piso en C. Quero 67 / Latina ,199.000 €,66 m²,2ª Planta,1 baño,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/164370020/d?from=list
Piso en C. de Los Artistas 26 / Tetuán ,449.000 €,91 m²,3ª Planta,2 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/164661086/d?from=list
Piso de 83 m² con terraza en Calle del Poeta Blas de Otero/ Ciudad Lineal ,324.000 €,83 m²,4ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-terraza-trastero-ascensor-television-se-aceptan-mascotas-no-amueblado/165577361/d?from=list
Piso en Calle de la Dulzaina/ S/n/ Ciudad Lineal ,290.000 €,62 m²,5ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-piscina-parking-piscina-no-amueblado/165399321/d?from=list
Piso de 193 m² con terraza en Calle del Alcalde López Casero/ Ciudad Lineal ,550.000 €,193 m²,2ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-television-se-aceptan-mascotas-internet-no-amueblado/165462668/d?from=list
Piso de 208 m² con ascensor en Calle de Orense/ Tetuán ,950.000 €,208 m²,5ª Planta,3 baños,4 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/165571632/d?from=list
Piso de 67 m² con balcón en Calle de Miguel Arredondo/ Arganzuela ,279.000 €,67 m²,2ª Planta,1 baño,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/165605182/d?from=list
Piso de 80 m² con ascensor en Calle Dobla/ Carabanchel ,289.900 €,80 m²,3ª Planta,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-zona-comunitaria-ascensor-parking-piscina/165598506/d?from=list
Piso de 195 m² con ascensor en Calle de Cea Bermúdez/ Chamberí ,995.000 €,195 m²,1ª Planta,4 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-zona-comunitaria-ascensor-internet-no-amueblado/165513398/d?from=list
Piso en Aguilar del Campoo/ 21/ Moncloa - Aravaca ,214.500 €,62 m²,Sin información,1 baño,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/165489933/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://track.adform.net/C/?bn=56498395
Casa adosada en San Blas ,796.000 €,305 m²,Sin información,3 baños,6 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-se-aceptan-mascotas/161738249/d?from=list
Piso en Calle de Navascués/ Usera ,134.000 €,65 m²,1ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/san-fermin/165611349/d?from=list
Piso en Calle de las Muelas del Pan/ San Blas ,101.000 €,53 m²,3ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/arcos/165584548/d?from=list
Piso de 56 m² con 1 baño en Avenida de Hellín/ San Blas ,169.000 €,56 m²,1ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/165578017/d?from=list
Piso de 77 m² con ascensor en Calle de la Virgen del Val/ Ciudad Lineal ,230.000 €,77 m²,2ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor-television-se-aceptan-mascotas-internet-no-amueblado/165447698/d?from=list
Piso de 180 m² con ascensor en Calle de la Cruz/ Centro ,1.250.000 €,180 m²,4ª Planta,4 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/165399858/d?from=list
Piso de 136 m² con ascensor en Calle de Los Tudescos/ Centro ,770.000 €,136 m²,3ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-se-aceptan-mascotas-internet/165279241/d?from=list
Piso de 46 m² con ascensor en Calle de Santa Brígida/ Centro ,220.000 €,46 m²,Bajos,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/165499426/d?from=list
Piso de 71 m² con terraza en Calle de Salorino/ Latina ,165.000 €,71 m²,4ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor/165413101/d?from=list
Piso de 126 m² con aire acondicionado en Calle de Los Tudescos/ Centro ,699.999 €,126 m²,1ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado-television-se-aceptan-mascotas-internet/165279664/d?from=list
Piso de 72 m² con terraza en Calle de Aladierna/ Villaverde ,140.000 €,72 m²,3ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/165222322/d?from=list
Piso de 175 m² con piscina en Calle Azofra/ Fuencarral - El Pardo ,670.000 €,175 m²,3ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/165191671/d?from=list
Ático de 300 m² con piscina en Calle Doctor Balmis/ Moncloa - Aravaca ,1.340.000 €,300 m²,2ª Planta,3 baños,4 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-ascensor-piscina-parking-internet-piscina-no-amueblado/163906459/d?from=list
Piso de 98 m² con terraza en Plaza de Magallón/ Latina ,169.000 €,98 m²,Entresuelo,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/165599267/d?from=list
Estudio de 36 m² con ascensor en Almagro/ Chamberí ,360.000 €,36 m²,7ª Planta,Sin información,Sin información,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/165435797/d?from=list
Piso de 74 m² con terraza en Calle de Alconera/ San Blas ,166.000 €,74 m²,3ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/165416855/d?from=list
Piso de 120 m² con terraza en Calle de Hinojal/ San Blas ,209.000 €,120 m²,3ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-internet/165340386/d?from=list
Piso de 86 m² con terraza en Calle de Tinamús/ Carabanchel ,240.000 €,86 m²,6ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor-amueblado-television-se-aceptan-mascotas-internet/165223728/d?from=list
Piso en Calle de las Canarias/ 16/ Arganzuela ,420.000 €,92 m²,3ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/163778958/d?from=list
Piso de 71 m² con ascensor en Avenida del Manzanares/ Carabanchel ,319.000 €,71 m²,7ª Planta,1 baño,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-internet/164882808/d?from=list
Piso de 197 m² con terraza en Calle de Mira el Río Alta/ Centro ,640.000 €,197 m²,Sin información,3 baños,4 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/165602533/d?from=list
Piso de 50 m² con ascensor en Calle de las Navas de Tolosa/ Centro ,247.000 €,50 m²,4ª Planta,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/164755433/d?from=list
Piso de 92 m² con terraza en Avenida Padre Piquer/ Latina ,249.000 €,92 m²,3ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor/165310083/d?from=list
Piso de 67 m² con terraza en Calle de Antonio López/ Carabanchel ,220.000 €,67 m²,Sótano,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-amueblado-television-se-aceptan-mascotas-internet/165120453/d?from=list
Piso de 111 m² con ascensor en Calle Pilar/ Latina ,580.000 €,111 m²,4ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor/165079101/d?from=list
Piso de 99 m² con terraza en Calle de Flora Tristán/ Villaverde ,279.000 €,99 m²,2ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-piscina/165033386/d?from=list
Piso de 116 m² con terraza en Paseo de las Delicias/ Arganzuela ,495.000 €,116 m²,5ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado/164961377/d?from=list
Piso de 65 m² con terraza en Calle de Aguilafuente/ Moncloa - Aravaca ,183.000 €,65 m²,Entresuelo,1 baño,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/164892815/d?from=list
Piso de 121 m² con piscina en Ciudad Lineal ,385.000 €,121 m²,1ª Planta,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina/165342811/d?from=list
Piso de 156 m² con terraza en Lagasca/ Barrio de Salamanca ,1.200.000 €,156 m²,2ª Planta,3 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-no-amueblado/161472622/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://track.adform.net/C/?bn=56498395
Piso de 224 m² con balcón en Calle de Ventura Rodríguez/ Moncloa - Aravaca ,935.000 €,224 m²,1ª Planta,2 baños,5 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor-no-amueblado/164109058/d?from=list
Piso de 138 m² con balcón en C. de la Princesa/ Moncloa - Aravaca ,840.000 €,138 m²,1ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/161681110/d?from=list
Piso de 265 m² con balcón en Sagasta/ Centro ,2.250.000 €,265 m²,4ª Planta,4 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163229120/d?from=list
Piso de 65 m² con aire acondicionado en Calle de Zurita/ Centro ,235.000 €,65 m²,Bajos,1 baño,2 habs.,Sin calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/165362061/d?from=list
Piso de 88 m² con terraza en Calle de Fernando VII/ San Blas ,398.000 €,88 m²,6ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-parking-piscina-no-amueblado/163972784/d?from=list
Piso de 287 m² con terraza en Calle de Gabriela Mistral/ Fuencarral - El Pardo ,925.000 €,287 m²,1ª Planta,4 baños,5 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina/164968833/d?from=list
Piso de 78 m² con ascensor en Retiro ,680.000 €,78 m²,2ª Planta,1 baño,Sin información,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-amueblado-internet/165557944/d?from=list
Piso de 100 m² con ascensor en Villa de Vallecas ,298.000 €,100 m²,4ª Planta,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-parking-piscina/165368649/d?from=list
